sft,br,lot,st,p,predicted price of the house,Prediction,,MYMODEL,estimate,std.error,t value,Pr(>|t|)  
2750,4,7500,1,67500,65790.6362,Bad Deal,,intercept,423.6283,6691.2104,0.063,0.94968
3000,5,7500,1,84300,74225.8301,Bad Deal,,sft,13.1276,4.4853,2.927, 0.00447 **
2250,4,7500,1,49900,59226.8362,Excellent Deal,,br,5153.2939,3008.8535,1.713,0.09069
1250,2,5000,1,30200,32644.1484,Excellent Deal,,lot,1.2594,0.9924,1.269,0.20814
3000,5,7500,1,80700,74225.8301,Bad Deal,,st ,-792.5677,3187.8685,-0.249,0.8043
2750,4,5000,2,70200,61849.5685,Bad Deal,,,,,,
2500,4,5000,1,61300,59360.2362,Bad Deal,,,,,,
1250,2,5000,1,30200,32644.1484,Excellent Deal,,,,,,
1000,2,5000,1,25300,29362.2484,Excellent Deal,,,,,,
3250,5,5000,2,80500,73566.6624,Bad Deal,,,,,,
3000,5,5000,2,59500,70284.7624,Excellent Deal,,,,,,
1250,2,5000,1,34400,32644.1484,Bad Deal,,,,,,
3500,5,5000,2,64900,76848.5624,Excellent Deal,,,,,,
2250,4,7500,1,64300,59226.8362,Bad Deal,,,,,,
1250,2,5000,1,38900,32644.1484,Bad Deal,,,,,,
1750,3,7500,1,47400,47509.7423,Excellent Deal,,,,,,
1750,3,5000,1,45900,44361.2423,Bad Deal,,,,,,
3000,5,5000,2,73300,70284.7624,Bad Deal,,,,,,
1750,3,5000,1,46900,44361.2423,Bad Deal,,,,,,
1500,3,5000,1,39300,41079.3423,Excellent Deal,,,,,,
2750,4,7500,1,74100,65790.6362,Bad Deal,,,,,,
2250,4,5000,1,55200,56078.3362,Excellent Deal,,,,,,
1500,3,5000,1,42600,41079.3423,Bad Deal,,,,,,
2750,4,5000,2,50400,61849.5685,Excellent Deal,,,,,,
1250,2,5000,1,32400,32644.1484,Excellent Deal,,,,,,
2000,3,7500,1,48000,50791.6423,Excellent Deal,,,,,,
3250,5,7500,1,67300,77507.7301,Excellent Deal,,,,,,
3000,5,5000,2,58300,70284.7624,Excellent Deal,,,,,,
2000,3,5000,1,58200,47643.1423,Bad Deal,,,,,,
1500,3,5000,1,45900,41079.3423,Bad Deal,,,,,,
1500,3,5000,1,35100,41079.3423,Excellent Deal,,,,,,
2250,4,5000,1,56600,56078.3362,Bad Deal,,,,,,
3000,5,5000,2,77500,70284.7624,Bad Deal,,,,,,
3250,5,5000,2,66900,73566.6624,Excellent Deal,,,,,,
1500,3,5000,1,45000,41079.3423,Bad Deal,,,,,,
2500,4,5000,1,70800,59360.2362,Bad Deal,,,,,,
2000,3,5000,1,55000,47643.1423,Bad Deal,,,,,,
2250,4,7500,1,67900,59226.8362,Bad Deal,,,,,,
3250,5,7500,1,80300,77507.7301,Bad Deal,,,,,,
3000,5,5000,2,82900,70284.7624,Bad Deal,,,,,,
2000,3,5000,1,40600,47643.1423,Excellent Deal,,,,,,
3250,5,5000,2,86400,73566.6624,Bad Deal,,,,,,
1750,3,7500,1,41400,47509.7423,Excellent Deal,,,,,,
1750,3,7500,1,47400,47509.7423,Excellent Deal,,,,,,
2000,3,5000,1,47000,47643.1423,Excellent Deal,,,,,,
2750,4,5000,2,76800,61849.5685,Bad Deal,,,,,,
2500,4,7500,1,62300,62508.7362,Excellent Deal,,,,,,
1750,3,5000,1,35400,44361.2423,Excellent Deal,,,,,,
3250,5,7500,1,82900,77507.7301,Bad Deal,,,,,,
2500,4,5000,1,59300,59360.2362,Excellent Deal,,,,,,
2750,4,5000,2,54300,61849.5685,Excellent Deal,,,,,,
2000,3,5000,1,43000,47643.1423,Excellent Deal,,,,,,
3000,5,7500,1,75300,74225.8301,Bad Deal,,,,,,
2750,4,7500,1,54300,65790.6362,Excellent Deal,,,,,,
2250,4,7500,1,69700,59226.8362,Bad Deal,,,,,,
2250,4,7500,1,47600,59226.8362,Excellent Deal,,,,,,
2000,3,7500,1,51200,50791.6423,Bad Deal,,,,,,
2250,4,5000,1,43100,56078.3362,Excellent Deal,,,,,,
1250,2,5000,1,31900,32644.1484,Excellent Deal,,,,,,
3250,5,5000,2,64900,73566.6624,Excellent Deal,,,,,,
3250,5,5000,2,64900,73566.6624,Excellent Deal,,,,,,
1750,3,5000,1,50100,44361.2423,Bad Deal,,,,,,
3500,5,5000,2,84500,76848.5624,Bad Deal,,,,,,
3250,5,7500,1,73800,77507.7301,Excellent Deal,,,,,,
1250,2,5000,1,36400,32644.1484,Bad Deal,,,,,,
3000,5,7500,1,87900,74225.8301,Bad Deal,,,,,,
1000,2,5000,1,33300,29362.2484,Bad Deal,,,,,,
1250,2,5000,1,32200,32644.1484,Excellent Deal,,,,,,
3000,5,7500,1,66300,74225.8301,Excellent Deal,,,,,,
2500,4,7500,1,64800,62508.7362,Bad Deal,,,,,,
1000,2,5000,1,30900,29362.2484,Bad Deal,,,,,,
1750,3,7500,1,52300,47509.7423,Bad Deal,,,,,,
3500,5,7500,1,68500,80789.6301,Excellent Deal,,,,,,
1250,2,5000,1,29900,32644.1484,Excellent Deal,,,,,,
2750,4,7500,1,65300,65790.6362,Excellent Deal,,,,,,
1500,3,5000,1,36600,41079.3423,Excellent Deal,,,,,,
2750,4,5000,2,74600,61849.5685,Bad Deal,,,,,,
3500,5,7500,1,86700,80789.6301,Bad Deal,,,,,,
2750,4,5000,2,50400,61849.5685,Excellent Deal,,,,,,
2000,3,5000,1,46600,47643.1423,Excellent Deal,,,,,,
1000,2,5000,1,26900,29362.2484,Excellent Deal,,,,,,
2500,4,5000,1,54300,59360.2362,Excellent Deal,,,,,,
2750,4,5000,2,64700,61849.5685,Bad Deal,,,,,,
2250,4,7500,1,48500,59226.8362,Excellent Deal,,,,,,
